,station_id,stationname,date,daytype,rides,STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,Location,zip_codes,has_market,month,spring,latitude,longitude,top_stations
248012,40450,95th/Dan Ryan,2011-03-05,A,7359,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248013,40450,95th/Dan Ryan,2011-03-06,U,5641,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248019,40450,95th/Dan Ryan,2011-03-12,A,7815,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248020,40450,95th/Dan Ryan,2011-03-13,U,5710,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248026,40450,95th/Dan Ryan,2011-03-19,A,8144,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248027,40450,95th/Dan Ryan,2011-03-20,U,5334,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248033,40450,95th/Dan Ryan,2011-03-26,A,7564,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248034,40450,95th/Dan Ryan,2011-03-27,U,5481,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,3,True,41.722377, -87.624342,True
248040,40450,95th/Dan Ryan,2011-04-02,A,8596,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248041,40450,95th/Dan Ryan,2011-04-03,U,5986,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248047,40450,95th/Dan Ryan,2011-04-09,A,8681,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248048,40450,95th/Dan Ryan,2011-04-10,U,6650,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248054,40450,95th/Dan Ryan,2011-04-16,A,7122,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248055,40450,95th/Dan Ryan,2011-04-17,U,5843,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248061,40450,95th/Dan Ryan,2011-04-23,A,8007,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248062,40450,95th/Dan Ryan,2011-04-24,U,5884,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248068,40450,95th/Dan Ryan,2011-04-30,A,8889,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,4,True,41.722377, -87.624342,True
248069,40450,95th/Dan Ryan,2011-05-01,U,6451,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248075,40450,95th/Dan Ryan,2011-05-07,A,7896,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248076,40450,95th/Dan Ryan,2011-05-08,U,6396,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248082,40450,95th/Dan Ryan,2011-05-14,A,7087,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248083,40450,95th/Dan Ryan,2011-05-15,U,5304,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248089,40450,95th/Dan Ryan,2011-05-21,A,8028,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248090,40450,95th/Dan Ryan,2011-05-22,U,6107,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248096,40450,95th/Dan Ryan,2011-05-28,A,7151,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
248097,40450,95th/Dan Ryan,2011-05-29,U,5453,30089,S,95th/Dan Ryan (95th-bound),95th/Dan Ryan,95th/Dan Ryan (Red Line),"41.722377, -87.624342",60620,True,5,True,41.722377, -87.624342,True
